City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Talnakh,RU,2021-11-28 21:23:45,69.4865,88.3972,-16.1,98,72,2.37
68,Smithers,CA,2021-11-28 21:23:46,54.7804,-127.1743,39.52,87,75,5.75
69,Mataura,NZ,2021-11-28 21:23:46,-46.1927,168.8643,58.6,51,84,3.69
70,Sao Jose Da Coroa Grande,BR,2021-11-28 21:23:46,-8.8978,-35.1478,80.44,80,40,13.62
71,Georgetown,MY,2021-11-28 21:23:47,5.4112,100.3354,76.95,88,20,0.0
72,Hofn,IS,2021-11-28 21:23:47,64.2539,-15.2082,31.17,97,100,9.8
73,Chapais,CA,2021-11-28 21:23:47,49.7834,-74.8492,13.78,94,100,4.05
74,Nosy Varika,MG,2021-11-28 21:23:47,-20.5833,48.5333,69.87,85,99,4.79
75,Torbay,CA,2021-11-28 21:23:48,47.6666,-52.7314,45.37,76,75,12.66
76,Kerema,PG,2021-11-28 21:23:11,-7.9631,145.7785,78.85,79,100,3.71
77,Nishihara,JP,2021-11-28 21:23:48,26.1842,127.7558,68.05,80,90,14.97
78,Zabol,AF,2021-11-28 21:23:48,32.25,67.25,38.34,49,8,5.37
79,Liverpool,GB,2021-11-28 21:23:49,53.4106,-2.9779,33.75,86,0,6.91
80,Geraldton,AU,2021-11-28 21:23:49,-28.7667,114.6,66.61,94,75,10.36
81,Grindavik,IS,2021-11-28 21:23:49,63.8424,-22.4338,43.27,93,90,14.97
82,Hithadhoo,MV,2021-11-28 21:23:49,-0.6,73.0833,81.37,75,66,17.43
83,Havre,FR,2021-11-28 21:23:50,49.5833,0.3333,42.57,56,75,11.5
84,Sao Joao Da Barra,BR,2021-11-28 21:21:07,-21.6403,-41.0511,73.49,94,93,9.46
85,Erzin,TR,2021-11-28 21:23:50,36.9559,36.2,52.52,58,4,3.09
86,Roma,US,2021-11-28 21:20:51,43.2128,-75.4557,33.66,86,90,5.75
87,Komsomolskiy,UZ,2021-11-28 21:23:51,40.4272,71.7189,35.02,80,33,4.61
88,Altamira,BR,2021-11-28 21:23:51,-3.2033,-52.2064,82.49,89,0,0.0
89,Hermanus,ZA,2021-11-28 21:23:51,-34.4187,19.2345,63.55,84,75,7.61
90,Auki,SB,2021-11-28 21:23:52,-8.7676,160.7034,81.32,79,77,3.76
